"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,635.00","STO","7","$0.70","$483.77"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,640.00","BTO","10","$0.45","($458.90)"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,635.00","STO","10","$0.70","$691.10"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,630.00","BTO","8","$0.53","($431.12)"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,625.00","STO","8","$0.78","$616.88"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,630.00","BTO","9","$0.55","($503.01)"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,625.00","STO","9","$0.80","$711.99"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,630.00","BTO","1","$0.55","($55.89)"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,630.00","BTO","1","$0.55","($55.89)"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,630.00","BTO","1","$0.55","($55.89)"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,625.00","STO","3","$0.80","$237.33"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Put $7,545.00","STC","10","$1.00","$990.20"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Put $7,550.00","BTC","10","$1.20","($1,209.80)"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,610.00","STC","5","$0.92","$455.55"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,605.00","BTC","5","$1.42","($714.90)"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,610.00","STC","5","$0.90","$445.55"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,605.00","BTC","5","$1.40","($704.90)"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,610.00","STC","10","$0.98","$971.10"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,605.00","BTC","10","$1.48","($1,489.80)"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Put $7,535.00","STC","10","$0.67","$661.10"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Put $7,540.00","BTC","10","$0.77","($778.90)"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,610.00","BTO","5","$1.78","($894.90)"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,605.00","STO","5","$2.68","$1,335.10"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,610.00","BTO","5","$1.78","($894.90)"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,605.00","STO","5","$2.68","$1,335.10"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,610.00","BTO","10","$0.97","($978.90)"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,605.00","STO","10","$1.42","$1,410.20"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Put $7,535.00","BTO","7","$3.95","($2,771.86)"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Put $7,540.00","STO","7","$4.65","$3,248.14"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Put $7,535.00","BTO","3","$3.90","($1,172.94)"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Put $7,540.00","STO","3","$4.60","$1,377.06"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Put $7,545.00","BTO","10","$4.65","($4,659.80)"
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Put $7,550.00","STO","10","$5.45","$5,440.20"
"6/1/2026","6/1/2026","6/1/2026","","Gold Deposit Boost Payment","GDBP","","","$16.88"
"5/29/2026","5/29/2026","6/1/2026","SPXW","Option Expiration for SPXW 5/29/2026 Put $7,580.00","OEXP","10","",""
"5/29/2026","5/29/2026","6/1/2026","SPXW","Option Expiration for SPXW 5/29/2026 Put $7,575.00","OEXP","10S","",""
"5/29/2026","5/29/2026","5/29/2026","","Interest Payment","INT","","","$0.19"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,575.00","BTO","1","$0.25","($25.89)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,580.00","STO","1","$0.95","$94.11"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,575.00","BTO","1","$0.25","($25.89)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,580.00","STO","1","$0.95","$94.11"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,575.00","BTO","1","$0.25","($25.89)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,580.00","STO","1","$0.95","$94.11"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,575.00","BTO","1","$0.25","($25.89)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,575.00","BTO","1","$0.25","($25.89)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,580.00","STO","2","$0.95","$188.22"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,575.00","BTO","2","$0.22","($45.78)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,580.00","STO","2","$0.92","$182.22"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,575.00","BTO","3","$0.22","($68.67)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,580.00","STO","3","$0.92","$273.33"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,550.00","BTC","15","$0.32","($493.35)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,545.00","STC","15","$0.22","$316.65"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,545.00","STC","5","$0.70","$345.55"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,550.00","BTC","5","$0.85","($429.45)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,545.00","BTO","10","$4.15","($4,159.80)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,550.00","STO","10","$4.95","$4,940.20"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,545.00","BTO","1","$3.47","($347.98)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,550.00","STO","1","$4.12","$411.02"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,545.00","BTO","1","$3.47","($347.98)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,550.00","STO","1","$4.12","$411.02"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,545.00","BTO","1","$3.47","($347.98)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,550.00","STO","1","$4.12","$411.02"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,545.00","BTO","1","$3.47","($347.98)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,550.00","STO","1","$4.12","$411.02"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,545.00","BTO","1","$3.47","($347.98)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,550.00","STO","1","$4.12","$411.02"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,545.00","BTO","1","$3.47","($347.98)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,550.00","STO","1","$4.12","$411.02"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,545.00","BTO","1","$3.47","($347.98)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,550.00","STO","1","$4.12","$411.02"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,545.00","BTO","1","$3.47","($347.98)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,550.00","STO","1","$4.12","$411.02"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,545.00","BTO","1","$3.47","($347.98)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,550.00","STO","1","$4.12","$411.02"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,545.00","BTO","1","$3.47","($347.98)"
"5/29/2026","5/29/2026","6/1/2026","SPXW","SPXW 5/29/2026 Put $7,550.00","STO","1","$4.12","$411.02"
"5/28/2026","5/28/2026","5/29/2026","SPXW","SPXW 5/28/2026 Call $7,580.00","BTC","20","$0.14","($297.80)"
"5/28/2026","5/28/2026","5/29/2026","SPXW","SPXW 5/28/2026 Call $7,585.00","STC","20","$0.09","$162.20"
"5/28/2026","5/28/2026","5/29/2026","SPXW","SPXW 5/28/2026 Call $7,580.00","STO","10","$2.05","$2,040.20"
"5/28/2026","5/28/2026","5/29/2026","SPXW","SPXW 5/28/2026 Call $7,585.00","BTO","10","$1.45","($1,459.80)"
"5/28/2026","5/28/2026","5/29/2026","SPXW","SPXW 5/28/2026 Call $7,585.00","BTO","10","$1.92","($1,929.80)"
"5/28/2026","5/28/2026","5/29/2026","SPXW","SPXW 5/28/2026 Call $7,580.00","STO","10","$2.52","$2,510.20"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,485.00","BTC","2","$0.52","($105.78)"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,480.00","STC","2","$0.37","$72.22"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,485.00","BTC","3","$0.57","($173.67)"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,480.00","STC","3","$0.42","$123.33"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,485.00","BTC","1","$0.55","($55.89)"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,480.00","STC","1","$0.40","$39.11"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,485.00","BTC","1","$0.57","($57.89)"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,480.00","STC","1","$0.42","$41.11"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,480.00","STC","8","$0.52","$408.88"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,485.00","BTC","8","$0.72","($583.12)"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Call $7,565.00","STC","20","$0.24","$462.20"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Call $7,560.00","BTC","20","$0.29","($597.80)"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,485.00","STO","10","$4.55","$4,540.20"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,480.00","BTO","10","$3.75","($3,759.80)"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Call $7,565.00","BTO","8","$1.65","($1,327.84)"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Call $7,560.00","STO","8","$2.25","$1,792.16"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Call $7,565.00","BTO","1","$1.65","($165.98)"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Call $7,560.00","STO","1","$2.25","$224.02"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Call $7,565.00","BTO","1","$1.65","($165.98)"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Call $7,560.00","STO","1","$2.25","$224.02"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Call $7,565.00","BTO","10","$1.33","($1,339.80)"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Call $7,560.00","STO","10","$1.78","$1,770.20"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,485.00","STO","1","$3.72","$371.02"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,480.00","BTO","1","$3.12","($312.98)"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,485.00","STO","1","$3.72","$371.02"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,480.00","BTO","1","$3.12","($312.98)"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,485.00","STO","1","$3.72","$371.02"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,480.00","BTO","1","$3.12","($312.98)"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,485.00","STO","1","$3.72","$371.02"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,480.00","BTO","1","$3.12","($312.98)"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,485.00","STO","1","$3.72","$371.02"
"5/27/2026","5/27/2026","5/28/2026","SPXW","SPXW 5/27/2026 Put $7,480.00","BTO","1","$3.12","($312.98)"
"5/27/2026","5/27/2026","5/28/2026","MSFT","Microsoft
CUSIP: 594918104
Dividend Reinvestment","Buy","0.1387","$413.84","($57.40)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","Option Expiration for SPXW 5/26/2026 Call $7,555.00","OEXP","19","",""
"5/26/2026","5/26/2026","5/27/2026","SPXW","Option Expiration for SPXW 5/26/2026 Call $7,565.00","OEXP","5","",""
"5/26/2026","5/26/2026","5/27/2026","SPXW","Option Expiration for SPXW 5/26/2026 Call $7,570.00","OEXP","5S","",""
"5/26/2026","5/26/2026","5/27/2026","SPXW","Option Expiration for SPXW 5/26/2026 Call $7,560.00","OEXP","19S","",""
"5/26/2026","5/26/2026","5/26/2026","MSFT","Cash Div: R/D 2026-05-21 P/D 2026-06-11 - 63.077085 shares at 0.91","CDIV","","","$57.40"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,560.00","BTO","1","$2.77","($277.98)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,555.00","STO","1","$3.52","$351.02"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,560.00","BTO","1","$2.77","($277.98)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,555.00","STO","1","$3.52","$351.02"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,560.00","BTO","1","$2.77","($277.98)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,555.00","STO","1","$3.52","$351.02"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,560.00","BTO","1","$2.77","($277.98)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,555.00","STO","1","$3.52","$351.02"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,560.00","BTO","1","$2.77","($277.98)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,555.00","STO","1","$3.52","$351.02"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,560.00","BTO","1","$2.77","($277.98)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,555.00","STO","1","$3.52","$351.02"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,560.00","BTO","1","$2.77","($277.98)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,555.00","STO","1","$3.52","$351.02"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,560.00","BTO","1","$2.77","($277.98)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,555.00","STO","1","$3.52","$351.02"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,560.00","BTO","1","$2.77","($277.98)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,555.00","STO","1","$3.52","$351.02"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,570.00","BTO","5","$1.52","($764.90)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,565.00","STO","5","$1.87","$930.10"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,560.00","BTO","1","$1.90","($190.98)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,555.00","STO","1","$2.35","$234.02"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,560.00","BTO","1","$1.90","($190.98)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,555.00","STO","1","$2.35","$234.02"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,560.00","BTO","1","$1.90","($190.98)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,555.00","STO","1","$2.35","$234.02"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,560.00","BTO","1","$1.90","($190.98)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,555.00","STO","1","$2.35","$234.02"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,560.00","BTO","1","$1.90","($190.98)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,555.00","STO","1","$2.35","$234.02"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,560.00","BTO","1","$1.90","($190.98)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,555.00","STO","1","$2.35","$234.02"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,560.00","BTO","4","$1.90","($763.92)"
"5/26/2026","5/26/2026","5/27/2026","SPXW","SPXW 5/26/2026 Call $7,555.00","STO","4","$2.35","$936.08"
"5/22/2026","5/22/2026","5/26/2026","SPXW","SPXW 5/22/2026 Call $7,540.00","STC","10","$0.09","$81.10"
"5/22/2026","5/22/2026","5/26/2026","SPXW","SPXW 5/22/2026 Call $7,535.00","BTC","10","$0.14","($148.90)"
"5/22/2026","5/22/2026","5/26/2026","SPXW","SPXW 5/22/2026 Call $7,525.00","BTC","4","$0.17","($71.56)"
"5/22/2026","5/22/2026","5/26/2026","SPXW","SPXW 5/22/2026 Call $7,530.00","STC","4","$0.12","$44.44"
"5/22/2026","5/22/2026","5/26/2026","SPXW","SPXW 5/22/2026 Call $7,525.00","BTC","6","$0.17","($107.34)"
"5/22/2026","5/22/2026","5/26/2026","SPXW","SPXW 5/22/2026 Call $7,530.00","STC","6","$0.12","$66.66"
"5/22/2026","5/22/2026","5/26/2026","SPXW","SPXW 5/22/2026 Call $7,530.00","BTO","10","$1.30","($1,309.80)"
"5/22/2026","5/22/2026","5/26/2026","SPXW","SPXW 5/22/2026 Call $7,525.00","STO","10","$1.90","$1,890.20"
"5/22/2026","5/22/2026","5/26/2026","SPXW","SPXW 5/22/2026 Call $7,540.00","BTO","10","$2.50","($2,509.80)"
"5/22/2026","5/22/2026","5/26/2026","SPXW","SPXW 5/22/2026 Call $7,535.00","STO","10","$3.15","$3,140.20"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Call $7,480.00","BTC","5","$0.25","($129.45)"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Call $7,485.00","STC","5","$0.20","$95.55"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Call $7,485.00","BTO","3","$1.57","($473.94)"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Call $7,480.00","STO","3","$2.07","$618.06"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Call $7,485.00","BTO","2","$1.57","($315.96)"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Call $7,480.00","STO","2","$2.07","$412.04"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Put $7,340.00","STC","1","$0.90","$89.11"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Put $7,340.00","STC","1","$0.90","$89.11"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Put $7,345.00","BTC","2","$1.10","($221.96)"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Put $7,340.00","STC","1","$1.08","$107.02"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Put $7,345.00","BTC","1","$1.28","($128.98)"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Put $7,330.00","STC","5","$0.72","$355.55"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Put $7,335.00","BTC","5","$0.87","($439.45)"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Put $7,340.00","STC","1","$1.13","$112.02"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Put $7,345.00","BTC","1","$1.33","($133.98)"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Put $7,340.00","STC","1","$1.17","$116.02"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Put $7,345.00","BTC","1","$1.37","($137.98)"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Put $7,335.00","STO","5","$2.72","$1,355.10"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Put $7,330.00","BTO","5","$2.27","($1,139.90)"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Call $7,470.00","STC","10","$0.67","$661.10"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Call $7,465.00","BTC","10","$0.87","($878.90)"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Call $7,480.00","STC","3","$0.52","$153.33"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Call $7,475.00","BTC","3","$0.67","($203.67)"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Call $7,480.00","STC","1","$0.55","$54.11"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Call $7,475.00","BTC","1","$0.70","($70.89)"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Call $7,480.00","STC","1","$0.62","$61.11"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Call $7,475.00","BTC","1","$0.77","($77.89)"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Call $7,480.00","STC","2","$0.65","$128.22"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Call $7,475.00","BTC","2","$0.80","($161.78)"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Call $7,480.00","STC","3","$0.62","$183.33"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Call $7,475.00","BTC","3","$0.77","($233.67)"
"5/21/2026","5/21/2026","5/22/2026","SPXW","SPXW 5/21/2026 Put $7,340.00","BTO","5","$2.45","($1,229.90)"
